"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","5.0"
"Velocity","Throughput(Cards Count)","2"
"Cycle time","Average cycle time(days/storyPoint)","2.99"
"Cycle time","Average cycle time(days/card)","7.47"
"Cycle time","Total  time / Total cycle time","18.67"
"Cycle time","Total development time / Total cycle time","37.75"
"Cycle time","Total block time / Total cycle time","14.32"
"Cycle time","Total review time / Total cycle time","23.69"
"Cycle time","Total testing time / Total cycle time","5.56"
"Cycle time","Average  time(days/storyPoint)","0.56"
"Cycle time","Average  time(days/card)","1.40"
"Cycle time","Average development time(days/storyPoint)","1.13"
"Cycle time","Average development time(days/card)","2.82"
"Cycle time","Average block time(days/storyPoint)","0.43"
"Cycle time","Average block time(days/card)","1.07"
"Cycle time","Average review time(days/storyPoint)","0.71"
"Cycle time","Average review time(days/card)","1.77"
"Cycle time","Average testing time(days/storyPoint)","0.17"
"Cycle time","Average testing time(days/card)","0.42"
"Classifications","Issue Type / Task","100.00"
"Classifications","Parent / ADM-322","100.00"
"Classifications","Story testing-2 / None","100.00"
"Classifications","Story testing-1 / 1.0","100.00"
"Classifications","Project / Auto Dora Metrics","100.00"
"Classifications","Sprint / Sprint 27","100.00"
"Classifications","Sprint / Sprint 28","50.00"
"Classifications","Flagged / None","100.00"
"Classifications","Fix versions / None","100.00"
"Classifications","Priority / Medium","100.00"
"Classifications","Partner / None","100.00"
"Classifications","Time tracking / None","100.00"
"Classifications","Labels / Stream1","100.00"
"Classifications","Story point estimate / 2.0","50.00"
"Classifications","Story point estimate / 3.0","50.00"
"Classifications","QA / Weiran Sun","50.00"
"Classifications","QA / None","50.00"
"Classifications","Feature/Operation / None","100.00"
"Classifications","Assignee / Junbo Dai","50.00"
"Classifications","Assignee / Xinyi Wang","50.00"
"Rework","Total rework times","3"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput)","0.5000"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","7.50"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","3.55"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.56"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","4.11"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","0.1667"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","3.74"
