"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","5.5"
"Velocity","Throughput(Cards Count)","3"
"Cycle time","Average cycle time(days/storyPoint)","5.39"
"Cycle time","Average cycle time(days/card)","9.88"
"Cycle time","Total  time / Total cycle time","3.34"
"Cycle time","Total development time / Total cycle time","74.29"
"Cycle time","Total block time / Total cycle time","6.71"
"Cycle time","Total review time / Total cycle time","12.35"
"Cycle time","Total testing time / Total cycle time","3.31"
"Cycle time","Average  time(days/storyPoint)","0.18"
"Cycle time","Average  time(days/card)","0.33"
"Cycle time","Average development time(days/storyPoint)","4.00"
"Cycle time","Average development time(days/card)","7.34"
"Cycle time","Average block time(days/storyPoint)","0.36"
"Cycle time","Average block time(days/card)","0.66"
"Cycle time","Average review time(days/storyPoint)","0.67"
"Cycle time","Average review time(days/card)","1.22"
"Cycle time","Average testing time(days/storyPoint)","0.18"
"Cycle time","Average testing time(days/card)","0.33"
"Classifications","Issue Type / Task","66.67"
"Classifications","Issue Type / Story","33.33"
"Classifications","Parent / ADM-868","100.00"
"Classifications","Story testing-2 / None","100.00"
"Classifications","Story testing-1 / 1.0","66.67"
"Classifications","Story testing-1 / None","33.33"
"Classifications","Design / None","100.00"
"Classifications","Vulnerability / None","100.00"
"Classifications","Sprint / Sprint37","100.00"
"Classifications","Sprint / Sprint 35","33.33"
"Classifications","Sprint / Sprint 36","66.67"
"Classifications","Sprint / Sprint34","33.33"
"Classifications","Project / Auto Dora Metrics","100.00"
"Classifications","Flagged / None","100.00"
"Classifications","Fix versions / None","100.00"
"Classifications","Priority / Medium","100.00"
"Classifications","Partner / YinYuan Zhou","33.33"
"Classifications","Partner / None","66.67"
"Classifications","Labels / 1.1.7","100.00"
"Classifications","Time tracking / None","100.00"
"Classifications","Story point estimate / 2.0","33.33"
"Classifications","Story point estimate / 3.0","33.33"
"Classifications","Story point estimate / 0.5","33.33"
"Classifications","QA / None","100.00"
"Classifications","Feature/Operation / None","100.00"
"Classifications","Assignee / Chao Wang","33.33"
"Classifications","Assignee / YinYuan Zhou","33.33"
"Classifications","Assignee / Qiuhong Lei","33.33"
"Rework","Total rework times","1"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput)","0.3333"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","2.00"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","10.78"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.59"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","11.38"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","0.0000"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","0"
