"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","1.0"
"Velocity","Throughput(Cards Count)","1"
"Cycle time","Average cycle time(days/storyPoint)","3.03"
"Cycle time","Average cycle time(days/card)","3.03"
"Cycle time","Total waiting for testing time / Total cycle time","4.62"
"Cycle time","Total development time / Total cycle time","66.01"
"Cycle time","Total block time / Total cycle time","4.95"
"Cycle time","Total review time / Total cycle time","0"
"Cycle time","Total testing time / Total cycle time","24.42"
"Cycle time","Average waiting for testing time(days/storyPoint)","0.14"
"Cycle time","Average waiting for testing time(days/card)","0.14"
"Cycle time","Average development time(days/storyPoint)","2.00"
"Cycle time","Average development time(days/card)","2.00"
"Cycle time","Average block time(days/storyPoint)","0.15"
"Cycle time","Average block time(days/card)","0.15"
"Cycle time","Average review time(days/storyPoint)","0"
"Cycle time","Average review time(days/card)","0"
"Cycle time","Average testing time(days/storyPoint)","0.74"
"Cycle time","Average testing time(days/card)","0.74"
"Classifications","Issue Type / Bug","100.00"
"Classifications","Parent / ADM-868","100.00"
"Classifications","Story testing-2 / None","100.00"
"Classifications","Story testing-1 / None","100.00"
"Classifications","Design / None","100.00"
"Classifications","Vulnerability / None","100.00"
"Classifications","Sprint / Sprint37","100.00"
"Classifications","Project / Auto Dora Metrics","100.00"
"Classifications","Flagged / None","100.00"
"Classifications","Fix versions / None","100.00"
"Classifications","Priority / High","100.00"
"Classifications","Partner / None","100.00"
"Classifications","Labels / 1.1.7","100.00"
"Classifications","Time tracking / None","100.00"
"Classifications","Story point estimate / 1.0","100.00"
"Classifications","QA / None","100.00"
"Classifications","Feature/Operation / None","100.00"
"Classifications","Assignee / Man Tang","100.00"
"Rework","Total rework times","1"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput)","1.0000"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","0.50"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","1.86"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.36"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","2.22"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","0.0000"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","0"
