"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","4.0"
"Velocity","Throughput(Cards Count)","2"
"Cycle time","Average cycle time(days/storyPoint)","4.41"
"Cycle time","Average cycle time(days/card)","8.83"
"Cycle time","Total  time / Total cycle time","15.52"
"Cycle time","Total development time / Total cycle time","34.11"
"Cycle time","Total block time / Total cycle time","5.55"
"Cycle time","Total review time / Total cycle time","38.92"
"Cycle time","Total testing time / Total cycle time","5.89"
"Cycle time","Average  time(days/storyPoint)","0.69"
"Cycle time","Average  time(days/card)","1.37"
"Cycle time","Average development time(days/storyPoint)","1.51"
"Cycle time","Average development time(days/card)","3.01"
"Cycle time","Average block time(days/storyPoint)","0.25"
"Cycle time","Average block time(days/card)","0.49"
"Cycle time","Average review time(days/storyPoint)","1.72"
"Cycle time","Average review time(days/card)","3.44"
"Cycle time","Average testing time(days/storyPoint)","0.26"
"Cycle time","Average testing time(days/card)","0.52"
"Classifications","Issue Type / Task","100.00"
"Classifications","Parent / ADM-322","50.00"
"Classifications","Parent / ADM-319","50.00"
"Classifications","Story testing-2 / None","100.00"
"Classifications","Story testing-1 / 1.0","100.00"
"Classifications","Project / Auto Dora Metrics","100.00"
"Classifications","Sprint / Sprint 27","100.00"
"Classifications","Sprint / Sprint 28","100.00"
"Classifications","Flagged / None","100.00"
"Classifications","Fix versions / None","100.00"
"Classifications","Priority / Medium","100.00"
"Classifications","Partner / None","100.00"
"Classifications","Time tracking / None","100.00"
"Classifications","Labels / Stream1","50.00"
"Classifications","Labels / Stream2","50.00"
"Classifications","Story point estimate / 1.0","50.00"
"Classifications","Story point estimate / 3.0","50.00"
"Classifications","QA / None","100.00"
"Classifications","Feature/Operation / None","100.00"
"Classifications","Assignee / Weiran Sun","50.00"
"Classifications","Assignee / Yunsong Yang","50.00"
"Rework","Total rework times","2"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput)","0.5000"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","3.00"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","7.64"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.40"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","8.04"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","0.4000"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","0.30"
