"Organization","Pipeline Name","Pipeline Step","Valid","Build Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Thoughtworks-Heartbeat","Heartbeat",":lock: Check .* in backend","false","4176","guzhongren","guzhongren",,,,,,,"2024-01-18T15:57:27.397Z","0",,,,"passed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4175","guzhongren","guzhongren",,,,"2024-01-18T15:16:05Z","2024-01-18T15:53:30Z","2024-01-18T15:16:05Z","2024-01-18T15:53:58.280Z","0","0:37:53","0:0:0","0:37:53","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4174","guzhongren","guzhongren",,,,"2024-01-18T15:00:53Z","2024-01-18T15:27:37Z","2024-01-18T15:00:53Z","2024-01-18T15:28:06.427Z","0","0:27:13","0:0:0","0:27:13","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4173","mrcuriosity-tw",,"2024-01-18T09:54:35Z","2024-01-18T05:47:24Z","2024-01-18T10:08:17Z",,"2024-01-18T10:33:18Z","2024-01-18T10:08:17Z","2024-01-18T10:33:46.039Z","0","0:39:11","0:13:42","0:25:29","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4171","neomgb",,"2024-01-18T02:33:54Z","2024-01-18T02:54:05Z","2024-01-18T09:41:40Z",,"2024-01-18T10:07:00Z","2024-01-18T09:41:40Z","2024-01-18T10:07:29.676Z","0","7:33:35","7:7:46","0:25:49","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4166","BoBoDai",,"2024-01-18T08:28:22Z","2024-01-18T08:27:11Z","2024-01-18T08:56:52Z",,"2024-01-18T09:15:09Z","2024-01-18T08:56:52Z","2024-01-18T09:15:44.306Z","0","0:47:22","0:28:30","0:18:52","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4162","lxuebing",,"2024-01-18T05:45:03Z","2024-01-18T06:34:30Z","2024-01-18T08:28:09Z",,"2024-01-18T08:52:29Z","2024-01-18T08:28:09Z","2024-01-18T08:52:58.699Z","0","3:7:55","2:43:6","0:24:49","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4151","davidwangcn9","heartbeat-user",,,,"2024-01-18T05:35:15Z","2024-01-18T05:55:59Z","2024-01-18T05:35:15Z","2024-01-18T05:56:34.575Z","0","0:21:19","0:0:0","0:21:19","passed","main","true"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Run e2e","false","4148","davidwangcn9","heartbeat-user",,,,,,,"2024-01-18T03:01:41.593Z","0",,,,"failed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4147","weiraneve",,"2024-01-17T07:43:29Z","2024-01-17T09:42:52Z","2024-01-17T10:47:01Z",,"2024-01-17T11:21:20Z","2024-01-17T10:47:01Z","2024-01-17T11:22:02.967Z","0","3:38:33","3:3:32","0:35:1","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4146","lxuebing",,"2024-01-17T08:06:19Z","2024-01-17T09:34:27Z","2024-01-17T09:48:38Z",,"2024-01-17T10:13:10Z","2024-01-17T09:48:38Z","2024-01-17T10:13:39.473Z","0","2:7:20","1:42:19","0:25:1","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4137","Unknown","heartbeat-user","2024-01-17T03:05:11Z","2024-01-17T04:01:00Z","2024-01-17T06:46:34Z",,"2024-01-17T07:22:06Z","2024-01-17T06:46:34Z","2024-01-17T07:22:40.087Z","0","4:17:29","3:41:23","0:36:6","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4133","BoBoDai",,"2024-01-17T03:54:13Z","2024-01-17T03:59:41Z","2024-01-17T06:15:16Z",,"2024-01-17T06:33:32Z","2024-01-17T06:15:16Z","2024-01-17T06:34:03.987Z","0","2:39:50","2:21:3","0:18:47","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Run e2e","false","4123","BoBoDai",,,,,,,,"2024-01-17T03:28:28.520Z","0",,,,"passed","main",""
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4119","sqsq5566",,"2024-01-17T02:26:10Z","2024-01-17T02:31:10Z","2024-01-17T02:55:54Z",,"2024-01-17T03:14:17Z","2024-01-17T02:55:54Z","2024-01-17T03:14:48.671Z","0","0:48:38","0:29:44","0:18:54","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4117","BoBoDai",,"2024-01-17T02:27:23Z","2024-01-17T02:30:48Z","2024-01-17T02:34:10Z",,"2024-01-17T02:53:05Z","2024-01-17T02:34:10Z","2024-01-17T02:53:37.896Z","0","0:26:14","0:6:47","0:19:27","passed","main","false"
"Thoughtworks-Heartbeat","Heartbeat",":rocket: Deploy prod","true","4114","mjx20045912",,"2024-01-16T08:44:22Z","2024-01-16T08:46:04Z","2024-01-16T16:27:24Z",,"2024-01-16T16:46:22Z","2024-01-16T16:27:24Z","2024-01-16T16:46:52.588Z","0","8:2:30","7:43:2","0:19:28","passed","main","false"
